			
ROI	Mean	STD	Sum	Min	Max	Pixel count	
ROI 2	2023.923	239.667	26311.000	1693.000	2651.000	13	
ROI 2	2016.462	232.810	26214.000	1742.000	2624.000	13	
ROI 2	2054.923	262.094	26714.000	1694.000	2745.000	13	
ROI 2	2063.923	247.088	26831.000	1763.000	2690.000	13	
ROI 2	2065.692	259.665	26854.000	1755.000	2731.000	13	
ROI 2	2088.231	243.986	27147.000	1799.000	2742.000	13	
ROI 2	2124.000	251.988	27612.000	1805.000	2794.000	13	
ROI 2	2118.308	273.626	27538.000	1784.000	2813.000	13	
ROI 2	2159.000	263.708	28067.000	1860.000	2841.000	13	
ROI 2	2175.385	286.150	28280.000	1835.000	2923.000	13	
ROI 2	2204.308	263.832	28656.000	1844.000	2828.000	13	
ROI 2	2217.538	283.730	28828.000	1868.000	2927.000	13	
ROI 2	2269.308	268.661	29501.000	1954.000	2908.000	13	
ROI 2	2277.231	289.857	29604.000	1917.000	2987.000	13	
ROI 2	2317.077	267.868	30122.000	2045.000	3012.000	13	
ROI 2	2335.692	273.112	30364.000	2020.000	3049.000	13	
ROI 2	2373.923	271.011	30861.000	1955.000	3051.000	13	
ROI 2	2354.615	292.844	30610.000	1969.000	3083.000	13	
ROI 2	2433.923	301.354	31641.000	1998.000	3159.000	13	
ROI 2	2485.231	307.661	32308.000	2174.000	3305.000	13	
ROI 3	2676.833	303.676	32122.000	2468.000	3576.000	12	
ROI 3	2578.917	288.428	30947.000	2371.000	3431.000	12	
ROI 3	2524.917	285.386	30299.000	2281.000	3337.000	12	
ROI 3	2434.583	286.589	29215.000	2192.000	3276.000	12	
ROI 3	2383.167	265.246	28598.000	2161.000	3152.000	12	
ROI 3	2317.583	268.372	27811.000	2060.000	3094.000	12	
ROI 3	2239.167	250.296	26870.000	2048.000	2974.000	12	
ROI 3	1279.667	140.941	15356.000	1134.000	1671.000	12	
ROI 3	1285.917	144.763	15431.000	1155.000	1697.000	12	
ROI 3	1295.583	155.985	15547.000	1139.000	1746.000	12	
ROI 3	1336.667	144.365	16040.000	1234.000	1752.000	12	
ROI 3	1334.333	139.731	16012.000	1194.000	1739.000	12	
ROI 3	1354.500	145.143	16254.000	1254.000	1786.000	12	
ROI 3	1363.667	150.539	16364.000	1219.000	1801.000	12	
ROI 3	1403.833	135.064	16846.000	1301.000	1792.000	12	
ROI 3	1402.000	135.967	16824.000	1301.000	1802.000	12	
